0.000001430511475,70.07,70.89,84.16,78.17,80.75,85.1,83.92,83.55
0.1138048172,69.8,69.08,84.16,77.84,80.47,85.19,83.92,83.55
0.2278981209,69.8,69.08,84.43,78.17,80.47,85.52,84,83.55
0.3411271572,69.8,69.08,71.06,78.17,80.47,85.19,83.72,83.64
0.4505875111,69.8,69.36,68.93,77.84,80.47,85.19,84,83.64
0.5628390312,69.47,69.08,68.93,77.84,80.75,85.19,84,83.55
0.6758131981,69.47,69.08,69.33,66.26,80.47,85.19,84,83.92
0.7869269848,69.8,68.75,68.93,64.4,80.47,85.19,84,83.55
0.8968946934,70.07,69.08,69.26,64.4,67.94,85.19,84.33,83.64
1.032265425,69.8,68.75,68.93,64.4,66.41,68.68,83.64,83.55
3.346622467,69.8,84.68,84.43,78.17,80.47,85.71,84.24,83.83
3.485018253,69.8,71.22,84.75,78.5,80.75,85.19,83.92,83.55
3.594820261,69.8,69.08,84.16,78.17,80.47,85.19,83.64,84.16
3.707163334,69.8,69.08,71.06,78.17,80.47,85.19,83.92,83.55
3.815542221,69.8,68.75,69.26,78.17,80.47,85.19,83.72,83.55
3.922260046,69.8,69.08,68.93,78.17,80.47,85.19,83.64,83.83
4.03321147,69.8,68.75,68.93,66.26,80.47,85.19,83.92,83.55
4.145159006,69.8,69.08,68.93,64.73,80.47,85.19,83.92,83.55
4.257187605,69.8,69.08,68.93,64.4,80.47,85.19,83.92,83.55
4.369867325,69.8,69.08,68.93,64.4,66.73,85.19,83.92,83.55
4.50269866,72.21,84.07,84.16,77.84,80.47,84.86,83.64,83.83
6.81359458,70.07,84.35,84.43,77.84,80.47,85.1,84.51,84.16
6.923091173,69.8,70.89,84.16,78.17,80.47,85.1,83.92,83.55
7.034194708,70.07,68.75,84.16,78.17,80.75,85.52,83.64,83.55
7.14185977,70.4,68.75,71.38,77.84,80.47,85.19,83.64,84.16
7.248516083,70.07,69.08,69.26,77.84,80.47,85.19,83.92,83.55
